Pokemon_1,Type_1,Type_number_1,Hp_1,Attack_1,Defense_1,Speed_1,Total_Points_1,Pokemon_2,Type_2,Type_number_2,Hp_2,Attack_2,Defense_2,Speed_2,Total_Points_2,Winner,Index,N_Pokemon_1,N_Pokemon_2
Bulbasaur,Grass,1,45,49,49,45,118,Accelgor,Bug,4,80,70,40,145,310.5,0,1,1,617
Ivysaur,Grass,1,60,62,63,60,155,Ariados,Bug,4,70,90,70,40,254.5,0,2,2,168
Venusaur,Grass,1,80,82,83,80,255,Beautifly,Bug,4,60,70,50,65,224.5,1,3,3,267
Mega Venusaur,Grass,1,80,100,123,80,293,Beedrill,Bug,4,65,90,40,75,245,1,4,3,15
Charmander,Fire,2,39,52,43,65,189,Blipbug,Bug,4,25,20,20,45,6,1,5,4,824
Charmeleon,Fire,2,58,64,58,80,245.5,Burmy,Bug,4,40,29,45,36,22,1,6,5,412
Charizard,Fire,2,78,84,78,100,328.75,Butterfree,Bug,4,60,45,50,70,57,1,7,6,12
Mega Charizard X,Fire,2,78,130,111,100,349.5,Buzzwole,Bug,4,107,139,139,79,204,1,8,6,794
Mega Charizard Y,Fire,2,78,104,78,100,351.25,Cascoon,Bug,4,50,35,55,15,-53,1,9,6,268
Squirtle,Water,3,44,48,65,43,170,Caterpie,Bug,4,45,30,35,45,107,1,10,7,10
Wartortle,Water,3,59,63,80,58,178,Charjabug,Bug,4,57,82,95,36,207,0,11,8,737
Blastoise,Water,3,79,83,100,78,310,Combee,Bug,4,30,30,42,70,89,1,12,9,415
Mega Blastoise,Water,3,79,103,120,78,275,Crustle,Bug,4,70,105,125,45,139,1,13,9,558
Caterpie,Bug,4,45,30,35,45,110,Cutiefly,Bug,4,40,45,40,84,194,0,14,10,742
Metapod,Bug,4,50,20,55,30,120,Dottler,Bug,4,50,35,80,30,155,0,15,11,825
Butterfree,Bug,4,60,45,50,70,170.5,Durant,Bug,4,58,109,112,109,365.5,0,16,12,632
Weedle,Bug,4,40,35,30,50,130,Dustox,Bug,4,60,50,70,65,227.5,0,17,13,269
Kakuna,Bug,4,45,25,50,35,122.5,Dwebble,Bug,4,50,65,85,55,230,0,18,14,557
Beedrill,Bug,4,65,90,40,75,202.5,Escavalier,Bug,4,70,135,105,20,285,0,19,15,589
Mega Beedrill,Bug,4,65,150,40,145,355,Forretress,Bug,4,75,90,140,40,270,1,20,15,205
Pidgey,Normal,5,40,45,40,56,142.5,Galvantula,Bug,4,70,77,60,108,270,0,21,16,596
Pidgeotto,Normal,5,63,60,55,71,189,Genesect,Bug,4,71,120,95,99,355,0,22,17,649
Pidgeot,Normal,5,83,80,75,101,276.5,Golisopod,Bug,4,75,125,140,40,300,0,23,18,768
Mega Pidgeot,Normal,5,83,80,80,121,333,Grubbin,Bug,4,47,62,45,46,120,1,24,18,736
Rattata,Normal,5,30,56,35,72,68,Heracross,Bug,4,80,125,75,85,309,0,25,19,214
Alolan Rattata,Dark,6,30,56,35,72,99,Illumise,Bug,4,65,47,75,85,216,0,26,19,314
Raticate,Normal,5,55,81,60,97,246,Joltik,Bug,4,50,47,50,65,131,1,27,20,595
Alolan Raticate,Dark,6,75,71,70,77,243,Kakuna,Bug,4,45,25,50,35,84,1,28,20,14
Spearow,Normal,5,40,60,30,70,162.5,Karrablast,Bug,4,50,75,45,60,170,0,29,21,588
Fearow,Normal,5,65,90,65,100,307.5,Kricketot,Bug,4,37,25,41,25,38,1,30,22,401
Ekans,Poison,7,35,60,44,55,151.5,Kricketune,Bug,4,77,85,51,65,218,0,31,23,402
